deprecation_reason,description,forks,homepage,keywords,language,latest_download_url,latest_stable_release_number,latest_stable_release_published_at,license_normalized,licenses,name,normalized_licenses,package_manager_url,platform,rank,repository_url,stars,status
None,French Geoportal SDK for OpenLayers and iTowns libraries,7,https://geoservices.ign.fr/documentation/utilisation_web/sdk.html,"['openlayers', 'itowns', 'geoportail', 'webservice', 'javascript', 'sdk', '3d', 'geoportal-access-lib', 'geoportal-extensions']",HTML,https://registry.npmjs.org/geoportal-sdk/-/geoportal-sdk-1.3.0.tgz,1.3.0,2018-06-25T16:25:10.273Z,False,CECILL-B,geoportal-sdk,['CECILL-B'],https://www.npmjs.com/package/geoportal-sdk,NPM,9,https://github.com/IGNF/geoportal-sdk,26,None
None,A declarative language for encoding public algorithm,35,https://publi.codes/,[],TypeScript,https://registry.npmjs.org/publicodes/-/publicodes-1.0.0.tgz,1.0.0,2020-05-18T15:19:37.940Z,False,MIT,publicodes,['MIT'],https://www.npmjs.com/package/publicodes,NPM,11,https://github.com/betagouv/mon-entreprise,141,None
None,a jinja2 extension to use humanize library inside jinja2 templates,0,https://github.com/metwork-framework/jinja2_humanize_extension,"['jinja2', 'extension', 'autoreadme', 'github-actions', 'integration-level-3', 'jinja2-extension']",Python,None,0.1.1,2021-02-16T08:49:26.000Z,True,BSD,jinja2-humanize-extension,['BSD-3-Clause'],https://pypi.org/project/jinja2-humanize-extension/,Pypi,7,https://github.com/metwork-framework/jinja2_humanize_extension,1,None
None,"A simple Leaflet Plugin to add a geocoding control to your map, powered by the french [BAN](https://adresse.data.gouv.fr/) (Base Adresse Nationale) API. This API only covers French addresses.",1,https://github.com/eig-2017/leaflet-geocoder-ban#readme,['entrepreneur-interet-general'],JavaScript,https://registry.npmjs.org/leaflet-geocoder-ban/-/leaflet-geocoder-ban-1.0.7.tgz,1.0.7,2018-09-26T14:29:32.595Z,False,MIT,leaflet-geocoder-ban,['MIT'],https://www.npmjs.com/package/leaflet-geocoder-ban,NPM,9,https://github.com/eig-2017/leaflet-geocoder-ban,10,None
None,Parser for the SNMP protocol,9,https://github.com/rusticata/snmp-parser,"['protocol', 'nom', 'parser', 'snmp']",Rust,https://crates.io/api/v1/crates/snmp-parser/0.8.0/download,0.8.0,2021-09-13T11:51:53.018Z,True,MIT/Apache-2.0,snmp-parser,"['MIT', 'Apache-2.0']",https://crates.io/crates/snmp-parser/,Cargo,10,https://github.com/rusticata/snmp-parser,31,None
None,Atlanmod Ecore Resources,2,http://atlanmod.org,[],Shell,https://repo1.maven.org/maven2/org/atlanmod/zoo/zoo/1.0.4/zoo-1.0.4.jar,1.0.4,2020-10-05T11:11:31.000Z,True,Eclipse Public License - v 2.0,org.atlanmod.zoo:zoo,['EPL-2.0'],https://repo1.maven.org/maven2/org/atlanmod/zoo/zoo,Maven,9,https://github.com/atlanmod/zoo,3,None
None,Code du Travail Numérique,17,https://github.com/SocialGouv/code-du-travail-numerique#readme,[],JavaScript,https://registry.npmjs.org/@socialgouv/cdtn-sources/-/@socialgouv/cdtn-sources-4.54.1.tgz,4.54.1,2021-10-15T13:20:35.457Z,False,MIT,@socialgouv/cdtn-sources,['MIT'],https://www.npmjs.com/package/@socialgouv/cdtn-sources,NPM,12,https://github.com/SocialGouv/code-du-travail-numerique,78,None
None,log,2,https://github.com/ISCPIF/freedsl,"['effects', 'free-monad', 'functional-programming', 'modularity', 'monad', 'monad-transformers', 'pure', 'scala']",Scala,https://repo1.maven.org/maven2/fr/iscpif/freedsl/log_2.12/0.26/log_2.12-0.26.jar,None,None,True,LGPL,fr.iscpif.freedsl:log_2.12,['Other'],https://repo1.maven.org/maven2/fr/iscpif/freedsl/log_2.12,Maven,7,https://github.com/ISCPIF/freedsl,34,None
None,"Methods for Visualization of Computer Experiments Design and
Surrogate",0,https://github.com/IRSN/DiceView,[],R,https://cran.r-project.org/src/contrib/DiceView_2.0-1.tar.gz,None,None,True,GPL-3,DiceView,['GPL-3.0'],https://cran.r-project.org/package=DiceView,CRAN,7,https://github.com/IRSN/DiceView,0,None
None,CKAN integration for udata,2,https://github.com/opendatateam/udata-ckan,"['udata', 'harvester', 'CKAN', 'open-data', 'opendata']",Python,None,2.0.0,2020-03-11T16:52:33.000Z,True,AGPL,udata-ckan,['Other'],https://pypi.org/project/udata-ckan/,Pypi,9,https://github.com/opendatateam/udata-ckan,2,None
None,misc python functions and classes developed for the metwork framework (but useful in other contexts),1,https://github.com/metwork-framework/mfutil,"['autoreadme', 'integration-level-3']",Python,None,0.1.1,2020-10-15T13:24:20.000Z,False,None,mfutil,['BSD-3-Clause'],https://pypi.org/project/mfutil/,Pypi,8,https://github.com/metwork-framework/mfutil,0,None
None,Python client for geocoding adresses in bulk using adresse.data.gouv.fr API,0,https://github.com/MTES-MCT/bulk-geocoding-python-client,"['geocoding', 'python']",Python,None,0.1.1,2019-09-06T14:18:07.000Z,False,None,bulk-geocoding,['GPL-2.0'],https://pypi.org/project/bulk-geocoding/,Pypi,6,https://github.com/MTES-MCT/bulk-geocoding-python-client,0,None
None,Définition Typescript du module hornet-js-utils,6,https://github.com/diplomatiegouvfr/hornet-js#readme,[],TypeScript,https://registry.npmjs.org/hornet-js-utils-dts/-/hornet-js-utils-dts-5.3.0.tgz,5.3.0,2019-03-28T07:06:21.333Z,False,CECILL-2.1,hornet-js-utils-dts,['CECILL-2.1'],https://www.npmjs.com/package/hornet-js-utils-dts,NPM,10,https://github.com/diplomatiegouvfr/hornet-js,16,None
None,"Module for statistical learning, with a particular emphasis on time-dependent modelling",68,https://x-datainitiative.github.io/tick/,"['machine-learning', 'modelling', 'optimization', 'point-process', 'python', 'statistics']",Python,None,0.2.1,2017-07-26T14:53:51.000Z,True,BSD License,tick-dev,['BSD-3-Clause'],https://pypi.org/project/tick-dev/,Pypi,9,https://github.com/x-datainitiative/tick,302,None
None,A helper library full of URL-related heuristics.,6,http://github.com/medialab/ural,"['url', 'python']",Python,None,0.31.2,2021-09-28T15:26:38.000Z,False,MIT,ural,['MIT'],https://pypi.org/project/ural/,Pypi,9,https://github.com/medialab/ural,25,None
None,ISTEX statements for EZS,1,https://github.com/Inist-CNRS/ezs/tree/master/packages/istex#readme,"['ezs', 'istex']",JavaScript,https://registry.npmjs.org/@ezs/istex/-/@ezs/istex-1.4.5.tgz,1.4.5,2021-10-05T07:38:15.086Z,False,MIT,@ezs/istex,['MIT'],https://www.npmjs.com/package/@ezs/istex,NPM,10,https://github.com/Inist-CNRS/ezs,2,None
None,Projection de coordonnées WGS-84 vers le système légal français en vigueur,0,None,[],JavaScript,https://registry.npmjs.org/@etalab/project-legal/-/@etalab/project-legal-0.4.1.tgz,0.4.1,2020-12-17T11:03:53.143Z,False,MIT,@etalab/project-legal,['MIT'],https://www.npmjs.com/package/@etalab/project-legal,NPM,7,https://github.com/etalab/project-legal,1,None
None,Native and full Javascript implementation of the classic XMLWriter class,24,http://github.com/touv/node-xml-writer,"['xml', 'writer', 'XMLWriter', 'generator']",JavaScript,https://registry.npmjs.org/xml-writer/-/xml-writer-1.7.0.tgz,1.7.0,2017-02-20T10:07:42.633Z,False,MIT,xml-writer,['MIT'],https://www.npmjs.com/package/xml-writer,NPM,18,https://github.com/touv/node-xml-writer,56,None
None,React hoc component for rendering page only on user sign success. It uses fetch-normalize-data as implicit helper.,1,https://github.com/betagouv/with-react-redux-login,"['react', 'hoc', 'login', 'redux']",JavaScript,https://registry.npmjs.org/with-react-redux-login/-/with-react-redux-login-1.22.7.tgz,1.22.7,2021-08-24T13:50:29.816Z,False,MPL-2.0,with-react-redux-login,['MPL-2.0'],https://www.npmjs.com/package/with-react-redux-login,NPM,9,https://github.com/betagouv/with-react-redux-login,1,None
None,Extraction des adresses du cadastre de la DGFiP,1,https://www.data.gouv.fr/fr/datasets/adresses-extraites-du-cadastre/,[],JavaScript,https://registry.npmjs.org/@etalab/adresses-cadastre/-/@etalab/adresses-cadastre-0.3.1.tgz,0.3.1,2018-08-02T12:41:06.165Z,False,MIT,@etalab/adresses-cadastre,['MIT'],https://www.npmjs.com/package/@etalab/adresses-cadastre,NPM,6,https://github.com/etalab/adresses-cadastre,2,None
None,Définition Typescript du module hornet-js-database,6,https://github.com/diplomatiegouvfr/hornet-js#readme,[],TypeScript,https://registry.npmjs.org/hornet-js-database-dts/-/hornet-js-database-dts-5.3.0.tgz,5.3.0,2019-03-28T07:03:36.010Z,False,CECILL-2.1,hornet-js-database-dts,['CECILL-2.1'],https://www.npmjs.com/package/hornet-js-database-dts,NPM,10,https://github.com/diplomatiegouvfr/hornet-js,16,None
