deprecation_reason,description,forks,homepage,keywords,language,latest_download_url,latest_stable_release_number,latest_stable_release_published_at,license_normalized,licenses,name,normalized_licenses,package_manager_url,platform,rank,repository_url,stars,status
None,A collection of Twitter-related helper functions for python.,0,http://github.com/medialab/twitwi,['twitter'],Python,None,0.9.2,2021-09-15T09:45:44.000Z,False,MIT,twitwi,['MIT'],https://pypi.org/project/twitwi/,Pypi,8,https://github.com/medialab/twitwi,1,None
None,A FUN API for Open edX,1,https://github.com/openfun/fonzie,"['Django', 'Rest', 'Framework', 'API', 'Open', 'edX', 'django-rest-framework', 'http', 'openedx']",Python,None,0.2.1,2019-10-10T14:50:48.000Z,True,AGPL 3.0,fonzie,['AGPL-3.0'],https://pypi.org/project/fonzie/,Pypi,8,https://github.com/openfun/fonzie,9,None
None,provide a bidirectionnal mapping between XML and JS data Structure (aka JSON),17,http://github.com/touv/node-xml-mapping,"['xml', 'json', 'json2xml', 'xml2json']",JavaScript,https://registry.npmjs.org/xml-mapping/-/xml-mapping-1.7.1.tgz,1.7.1,2016-02-08T14:12:51.821Z,False,MIT,xml-mapping,['MIT'],https://www.npmjs.com/package/xml-mapping,NPM,16,https://github.com/touv/node-xml-mapping,39,None
None,"PARSE and STRINGIFY for CSV strings. It's like JSON object but for CSV. It can also work row by row. And, if can parse strings, it can be use to parse files or streams too.",18,https://github.com/Inist-CNRS/node-csv-string#readme,"['csv', 'parser', 'string', 'generator']",TypeScript,https://registry.npmjs.org/csv-string/-/csv-string-4.0.1.tgz,4.0.1,2020-04-20T07:32:56.044Z,False,MIT,csv-string,['MIT'],https://www.npmjs.com/package/csv-string,NPM,17,https://github.com/Inist-CNRS/node-csv-string,58,None
None,PHP Client for NM B2B Web services,0,None,"['atc', 'b2b', 'eurocontrol', 'web-services']",PHP,None,v0.3.0,2020-02-28T16:31:18.000Z,True,GPL-3.0-or-later,dsna/nmb2b-client,['CNRI-Python-GPL-Compatible'],https://packagist.org/packages/dsna/nmb2b-client#,Packagist,2,https://github.com/DGACfr/nmb2b-driver,1,Removed
None,"Convert an XML input to a JSON output, using xml-mapping",10,https://github.com/Inist-CNRS/node-xml2json-command,"['xml', 'json', 'xml2json']",JavaScript,https://registry.npmjs.org/xml2json-command/-/xml2json-command-0.0.3.tgz,0.0.3,2016-02-03T14:07:08.803Z,False,MIT,xml2json-command,['MIT'],https://www.npmjs.com/package/xml2json-command,NPM,9,https://github.com/Inist-CNRS/node-xml2json-command,141,None
None,Custom paginations for Django REST Framework,1,https://github.com/unistra/django-rest-framework-custom-paginations,"['django', 'REST', 'rest_framework', 'paginations']",Python,None,1.2.2,2017-04-28T07:23:20.000Z,True,UNKNOWN,djangorestframework-custom-paginations,['Other'],https://pypi.org/project/djangorestframework-custom-paginations/,Pypi,8,https://github.com/unistra/django-rest-framework-custom-paginations,1,None
None,Tools for amalia metadata model,0,http://ina-foss.github.io/amalia.js/,[],Java,https://repo1.maven.org/maven2/fr/ina/research/amalia-tools/0.2.9/amalia-tools-0.2.9.jar,0.2.9,2020-04-23T00:00:00.000Z,True,"GNU LESSER GENERAL PUBLIC LICENSE, Version 3",fr.ina.research:amalia-tools,['LGPL-2.1+'],https://repo1.maven.org/maven2/fr/ina/research/amalia-tools,Maven,7,https://github.com/ina-foss/amalia-tools,3,None
None,"Library to compute the french social security contributions. Also a website that explains the calculations, and a generic engine to build cool forms that asks the question needed to compute an objective.",35,https://github.com/betagouv/syso#readme,[],TypeScript,https://registry.npmjs.org/syso/-/syso-1.2.1.tgz,1.2.1,2019-09-25T15:23:29.356Z,False,MIT,syso,['MIT'],https://www.npmjs.com/package/syso,NPM,10,https://github.com/betagouv/syso,141,None
None,Light version of swagger UI using Svelte framework,0,https://github.com/matchid-project/swagger-ui-svelte,"['swagger', 'svelte', 'swagger-ui', 'docs', 'api']",SCSS,https://registry.npmjs.org/swagger-ui-svelte/-/swagger-ui-svelte-0.0.13.tgz,0.0.13,2020-11-08T21:27:01.994Z,False,None,swagger-ui-svelte,[],https://www.npmjs.com/package/swagger-ui-svelte,NPM,6,https://github.com/matchid-project/swagger-ui-svelte,0,None
None,highlightjs,5,https://github.com/openmole/scala-js-plotlyjs,[],CSS,https://repo1.maven.org/maven2/org/openmole/scaladget/highlightjs_sjs1_2.12/1.3.7/highlightjs_sjs1_2.12-1.3.7.jar,1.3.7,2020-06-17T00:00:00.000Z,True,Affero GPLv3,org.openmole.scaladget:highlightjs_sjs1_2.12,['AGPL-1.0'],https://repo1.maven.org/maven2/org/openmole/scaladget/highlightjs_sjs1_2.12,Maven,10,https://github.com/openmole/scaladget,42,None
None,model,3,https://github.com/ISCPIF/viabilitree,[],Scala,https://repo1.maven.org/maven2/fr/iscpif/viabilitree/model_2.12/2.0/model_2.12-2.0.jar,None,None,True,Affero GPLv3,fr.iscpif.viabilitree:model_2.12,['AGPL-1.0'],https://repo1.maven.org/maven2/fr/iscpif/viabilitree/model_2.12,Maven,5,https://github.com/ISCPIF/viabilitree,2,None
None,Social Gouv recommended tslint config,4,https://github.com/SocialGouv/linters/tree/master/packages/tslint-config-recommended#readme,"['eslint', 'linter', 'linters', 'react', 'tslint']",TypeScript,https://registry.npmjs.org/@socialgouv/tslint-config-recommended/-/@socialgouv/tslint-config-recommended-0.35.0.tgz,0.35.0,2020-06-23T12:36:57.039Z,False,Apache-2.0,@socialgouv/tslint-config-recommended,['Apache-2.0'],https://www.npmjs.com/package/@socialgouv/tslint-config-recommended,NPM,9,https://github.com/SocialGouv/linters,1,None
None,Définition Typescript du module hornet-js-cas,6,https://github.com/diplomatiegouvfr/hornet-js#readme,[],TypeScript,https://registry.npmjs.org/hornet-js-cas-dts/-/hornet-js-cas-dts-5.0.1.tgz,5.0.1,2016-02-23T08:44:34.470Z,False,CECILL-2.1,hornet-js-cas-dts,['CECILL-2.1'],https://www.npmjs.com/package/hornet-js-cas-dts,NPM,9,https://github.com/diplomatiegouvfr/hornet-js,16,None
None,Module de k-anonymisation,1,https://github.com/SGMAP-AGD/anonymisation,[],Python,None,None,None,True,UNKNOWN,anonymiser,['Other'],https://pypi.org/project/anonymiser/,Pypi,6,https://github.com/SGMAP-AGD/anonymisation,6,None
None, NeoEMF core component. Specialize the standard EMF classes and provide abstract classes for dedicated back-end extensions. ,12,www.neoemf.com,"['eclipse-plugin', 'emf', 'large-models', 'persistence']",Java,https://repo1.maven.org/maven2/fr/inria/atlanmod/neoemf/neoemf-core/2.0.0/neoemf-core-2.0.0.jar,2.0.0,2019-03-21T00:00:00.000Z,True,Eclipse Public License v2.0,fr.inria.atlanmod.neoemf:neoemf-core,['EPL-2.0'],https://repo1.maven.org/maven2/fr/inria/atlanmod/neoemf/neoemf-core,Maven,12,https://github.com/atlanmod/NeoEMF,36,None
None,bootstrapnative,5,https://github.com/openmole/scala-js-plotlyjs,[],CSS,https://repo1.maven.org/maven2/org/openmole/scaladget/bootstrapnative_sjs1_2.12/1.3.7/bootstrapnative_sjs1_2.12-1.3.7.jar,1.3.7,2020-06-17T00:00:00.000Z,True,Affero GPLv3,org.openmole.scaladget:bootstrapnative_sjs1_2.12,['AGPL-1.0'],https://repo1.maven.org/maven2/org/openmole/scaladget/bootstrapnative_sjs1_2.12,Maven,10,https://github.com/openmole/scaladget,42,None
None,Robust estimation of linear response functions,14,https://github.com/BRGM/razorback,"['magnetotelluric', 'mt', 'robust']",Python,None,0.3.1,2021-03-08T20:06:24.000Z,True,GNU GPLv3,razorback,['GPL-3.0'],https://pypi.org/project/razorback/,Pypi,7,https://github.com/BRGM/razorback,24,None
None,YAML config component for nodeJs,0,https://github.com/Inist-CNRS/node-config-component#readme,"['nodejs', 'yaml', 'config', 'javascript']",JavaScript,https://registry.npmjs.org/@istex/config-component/-/@istex/config-component-1.4.0.tgz,1.4.0,2021-04-02T13:11:17.354Z,False,MIT,@istex/config-component,['MIT'],https://www.npmjs.com/package/@istex/config-component,NPM,8,https://github.com/Inist-CNRS/node-config-component,3,None
None,lunr,5,https://github.com/mathieuleclaire/scaladget,[],CSS,https://repo1.maven.org/maven2/fr/iscpif/scaladget/lunr_sjs0.6_2.12/1.2.7/lunr_sjs0.6_2.12-1.2.7.jar,1.2.7,2019-06-03T00:00:00.000Z,True,Affero GPLv3,fr.iscpif.scaladget:lunr_sjs0.6_2.12,['AGPL-1.0'],https://repo1.maven.org/maven2/fr/iscpif/scaladget/lunr_sjs0.6_2.12,Maven,10,https://github.com/mathieuleclaire/scaladget,42,None
None,Parser/encoder for ASN.1 BER/DER data,21,https://github.com/rusticata/der-parser,"['ber', 'der', 'nom', 'asn1', 'parser', 'der-parser', 'parse', 'rust']",Rust,https://crates.io/api/v1/crates/der-parser/6.0.0/download,6.0.0,2021-09-13T10:57:11.319Z,True,MIT/Apache-2.0,der-parser,"['MIT', 'Apache-2.0']",https://crates.io/crates/der-parser/,Cargo,15,https://github.com/rusticata/der-parser,60,None
None,![Node.js CI](https://github.com/SocialGouv/datafiller-data/workflows/Node.js%20CI/badge.svg) [![codecov](https://codecov.io/gh/SocialGouv/datafiller-data/branch/master/graph/badge.svg)](https://codecov.io/gh/SocialGouv/datafiller-data),1,https://github.com/SocialGouv/datafiller-data,[],TypeScript,https://registry.npmjs.org/@socialgouv/datafiller-data/-/@socialgouv/datafiller-data-2.20.0.tgz,2.20.0,2021-04-12T20:26:53.140Z,False,Apache-2.0,@socialgouv/datafiller-data,['Apache-2.0'],https://www.npmjs.com/package/@socialgouv/datafiller-data,NPM,9,https://github.com/SocialGouv/datafiller-data,0,None
None,Piwik support for uData,3,https://github.com/opendatateam/udata-piwik,"['udata', 'piwik', 'analytics', 'opendata', 'python']",Python,None,3.1.0,2021-09-16T13:26:30.000Z,True,LGPL,udata-piwik,['Other'],https://pypi.org/project/udata-piwik/,Pypi,10,https://github.com/opendatateam/udata-piwik,4,None
None,Python text differences computer,0,https://github.com/envinorma/text_diff,['text_diff'],Python,None,0.0.5,2021-05-17T14:19:45.000Z,True,MIT license,text-diff,['MIT'],https://pypi.org/project/text-diff/,Pypi,7,https://github.com/envinorma/text_diff,0,None
None,ace,5,https://github.com/mathieuleclaire/scaladget,[],CSS,https://repo1.maven.org/maven2/fr/iscpif/scaladget/ace_sjs0.6_2.12/1.2.7/ace_sjs0.6_2.12-1.2.7.jar,1.2.7,2019-06-03T00:00:00.000Z,True,Affero GPLv3,fr.iscpif.scaladget:ace_sjs0.6_2.12,['AGPL-1.0'],https://repo1.maven.org/maven2/fr/iscpif/scaladget/ace_sjs0.6_2.12,Maven,10,https://github.com/mathieuleclaire/scaladget,42,None
None,A grunt task to create artoo bookmarklets.,2,https://github.com/medialab/grunt-artoo,['gruntplugin'],JavaScript,https://registry.npmjs.org/grunt-artoo/-/grunt-artoo-0.0.4.tgz,0.0.4,2014-07-28T17:01:58.170Z,False,MIT,grunt-artoo,['MIT'],https://www.npmjs.com/package/grunt-artoo,NPM,7,https://github.com/medialab/grunt-artoo,4,None
None,LemonLDAP::NG handler for Node.js,2,https://lemonldap-ng.org,"['Lemonldap::NG', 'SSO', 'SAML', 'OpenID-Connect', 'SSOaaS', 'handler', 'lemonldap-ng', 'nginx', 'sso-authentication']",CoffeeScript,https://registry.npmjs.org/lemonldap-ng-session-ldap/-/lemonldap-ng-session-ldap-0.5.5.tgz,0.5.5,2020-10-07T08:21:08.879Z,True,GPL-2.0-or-later,lemonldap-ng-session-ldap,['CNRI-Python-GPL-Compatible'],https://www.npmjs.com/package/lemonldap-ng-session-ldap,NPM,8,https://github.com/LemonLDAPNG/node-lemonldap-ng-handler,6,None
None,Client Node.js de Cerbere,1,https://github.com/MTES-MCT/node-cerbere#readme,"['cerbere', 'authentification']",JavaScript,https://registry.npmjs.org/cerbere/-/cerbere-0.2.3.tgz,0.2.3,2021-04-06T14:24:28.031Z,True,AGPL-3.0-or-later,cerbere,['Other'],https://www.npmjs.com/package/cerbere,NPM,8,https://github.com/MTES-MCT/node-cerbere,1,None
None,FFLAS-FFPACK - Finite Field Linear Algebra Subroutines / Package,15,http://linbox-team.github.io/fflas-ffpack/,"['linear-algebra', 'finite-fields', 'blas-libraries']",C++,https://conda.anaconda.org/conda-forge/linux-64/fflas-ffpack-2.4.3-h5896f46_0.tar.bz2,2.4.3,2019-09-12T06:25:53.000Z,True,LGPLv2.1+,fflas-ffpack,['LGPL-2.1+'],https://anaconda.org/conda-forge/fflas-ffpack,Conda,10,https://github.com/linbox-team/fflas-ffpack,35,None
None,An EMF persistence layer,12,www.neoemf.com,"['eclipse-plugin', 'emf', 'large-models', 'persistence']",Java,https://repo1.maven.org/maven2/fr/inria/atlanmod/neoemf/neoemf/2.0.0/neoemf-2.0.0.jar,2.0.0,2019-03-21T00:00:00.000Z,True,Eclipse Public License v2.0,fr.inria.atlanmod.neoemf:neoemf,['EPL-2.0'],https://repo1.maven.org/maven2/fr/inria/atlanmod/neoemf/neoemf,Maven,10,https://github.com/atlanmod/NeoEMF,36,None
None,A handy terminal dashboard plugin for sandcrawler.,1,https://github.com/medialab/sandcrawler-dashboard,"['sandcrawler-plugin', 'dashboard']",JavaScript,https://registry.npmjs.org/sandcrawler-dashboard/-/sandcrawler-dashboard-0.1.1.tgz,0.1.1,2015-03-24T15:30:55.711Z,False,MIT,sandcrawler-dashboard,['MIT'],https://www.npmjs.com/package/sandcrawler-dashboard,NPM,7,https://github.com/medialab/sandcrawler-dashboard,17,None
None,Web API for OpenFisca,11,https://github.com/openfisca/openfisca-web-api,"['api', 'benefit', 'microsimulation', 'server', 'social', 'tax', 'web']",Python,None,8.2.0,2018-05-01T15:26:53.000Z,True,http://www.fsf.org/licensing/licenses/agpl-3.0.html,OpenFisca-Web-API,['Other'],https://pypi.org/project/OpenFisca-Web-API/,Pypi,9,https://github.com/openfisca/openfisca-web-api,13,None
None,French Geoportal Extension for Leaflet,25,https://geoservices.ign.fr/documentation/utilisation_web/extension-leaflet.html,"['geoportail', 'plugin', 'javascript', 'leaflet', 'publish', 'openlayers', '3d', 'itowns', 'geoportal-extensions']",JavaScript,https://registry.npmjs.org/geoportal-extensions-leaflet/-/geoportal-extensions-leaflet-2.1.10.tgz,2.1.10,2021-06-16T18:02:33.784Z,False,CECILL-B,geoportal-extensions-leaflet,['CECILL-B'],https://www.npmjs.com/package/geoportal-extensions-leaflet,NPM,12,https://github.com/IGNF/geoportal-extensions,40,None
None,A learning logs processor to feed your LRS,2,https://openfun.github.io/ralph/,"['Open', 'edX', 'Analytics', 'xAPI', 'LRS', 'python', 'docker', 'cli', 'stream-processing', 'learning-analytics', 'k8s', 'anayltics']",Python,None,2.0.1,2021-07-15T15:40:27.000Z,False,MIT,ralph-malph,['MIT'],https://pypi.org/project/ralph-malph/,Pypi,6,https://github.com/openfun/ralph,4,None
None,bootstrapnative,5,https://github.com/mathieuleclaire/scaladget,[],CSS,https://repo1.maven.org/maven2/fr/iscpif/scaladget/bootstrapnative_sjs0.6_2.12/1.2.7/bootstrapnative_sjs0.6_2.12-1.2.7.jar,1.2.7,2019-06-03T00:00:00.000Z,True,Affero GPLv3,fr.iscpif.scaladget:bootstrapnative_sjs0.6_2.12,['AGPL-1.0'],https://repo1.maven.org/maven2/fr/iscpif/scaladget/bootstrapnative_sjs0.6_2.12,Maven,10,https://github.com/mathieuleclaire/scaladget,42,None
None,Just a nodeJS wrapper for ghostscript,7,https://github.com/Inist-CNRS/ghostscript-js#readme,"['nodejs', 'ghostscript']",CMake,https://registry.npmjs.org/ghostscript-js/-/ghostscript-js-1.1.8.tgz,1.1.8,2021-06-22T14:06:39.558Z,False,MIT,ghostscript-js,['MIT'],https://www.npmjs.com/package/ghostscript-js,NPM,12,https://github.com/Inist-CNRS/ghostscript-js,10,None
None,example,2,https://github.com/ISCPIF/freedsl,"['effects', 'free-monad', 'functional-programming', 'modularity', 'monad', 'monad-transformers', 'pure', 'scala']",Scala,https://repo1.maven.org/maven2/fr/iscpif/freedsl/example_2.12/0.26/example_2.12-0.26.jar,None,None,True,LGPL,fr.iscpif.freedsl:example_2.12,['Other'],https://repo1.maven.org/maven2/fr/iscpif/freedsl/example_2.12,Maven,7,https://github.com/ISCPIF/freedsl,34,None
None,Parser for the Kerberos protocol,5,https://github.com/rusticata/kerberos-parser,"['nom', 'kerberos', 'parser']",Rust,https://crates.io/api/v1/crates/kerberos-parser/0.7.0/download,0.7.0,2021-09-13T11:27:11.453Z,True,MIT/Apache-2.0,kerberos-parser,"['MIT', 'Apache-2.0']",https://crates.io/crates/kerberos-parser/,Cargo,9,https://github.com/rusticata/kerberos-parser,7,None
None,API JavaScript permettant d'interroger le Code Officiel Géographique,2,,"['cog', 'communes', 'departements', 'geo', 'insee', 'regions']",JavaScript,https://registry.npmjs.org/@etalab/cog/-/@etalab/cog-0.2.0.tgz,0.2.0,2019-02-12T20:35:57.611Z,False,MIT,@etalab/cog,['MIT'],https://www.npmjs.com/package/@etalab/cog,NPM,11,https://github.com/etalab/code-officiel-geographique,23,None
None,Thematic Cartography for R,41,https://github.com/riatelab/cartography/,"['cartography', 'map', 'r-package', 'thematic-maps']",R,https://conda.anaconda.org/conda-forge/linux-64/r-cartography-3.0.1-r40h03ef668_0.tar.bz2,3.0.1,2021-10-08T02:18:55.000Z,False,GPL-3.0-only,r-cartography,['GPL-3.0-only'],https://anaconda.org/conda-forge/r-cartography,Conda,13,None,365,None
None,Evolving jails for user activities,1,https://stemjail.github.io,"['linux', 'security', 'namespace', 'sandbox', 'jail', 'linux-namespaces', 'user-namespaces']",Rust,https://crates.io/api/v1/crates/stemjail/0.4.1/download,0.4.1,2016-10-01T18:49:05.000Z,False,LGPL-3.0,stemjail,['LGPL-3.0'],https://crates.io/crates/stemjail/,Cargo,8,https://github.com/stemjail/stemjail,39,None
None,Integration with schema.data.gouv.fr,1,https://github.com/etalab/udata-schema-gouvfr,"['udata', 'schema', 'tableschema']",Python,None,1.3.2,2021-05-28T14:04:03.000Z,False,MIT,udata-schema-gouvfr,['MIT'],https://pypi.org/project/udata-schema-gouvfr/,Pypi,10,https://github.com/etalab/udata-schema-gouvfr,1,None
None,Camino api,7,https://github.com/MTES-MCT/camino-api,"['docker', 'express-graphql', 'expressjs', 'graphql', 'knexjs', 'objectionjs', 'postgresql']",JavaScript,https://registry.npmjs.org/camino-api/-/camino-api-0.24.4.tgz,0.24.4,2019-09-23T17:50:50.028Z,True,AGPL-3.0-or-later,camino-api,['Other'],https://www.npmjs.com/package/camino-api,NPM,7,https://github.com/MTES-MCT/camino-api,2,None
None,export,3,https://github.com/ISCPIF/viabilitree,[],Scala,https://repo1.maven.org/maven2/fr/iscpif/viabilitree/export_2.12/2.0/export_2.12-2.0.jar,None,None,True,Affero GPLv3,fr.iscpif.viabilitree:export_2.12,['AGPL-1.0'],https://repo1.maven.org/maven2/fr/iscpif/viabilitree/export_2.12,Maven,5,https://github.com/ISCPIF/viabilitree,2,None
None,Common Maven config for Spoon modules,260,http://spoon.gforge.inria.fr/,"['abstract-syntax-tree', 'ast', 'code-analysis', 'code-generation', 'code-transformation', 'compile-time-reflection', 'hacktoberfest', 'inria', 'java', 'java-module', 'java10', 'java9', 'metaprogramming', 'parser', 'spoon', 'static-analysis']",Java,https://repo1.maven.org/maven2/fr/inria/gforge/spoon/spoon-pom/1.0/spoon-pom-1.0.jar,None,None,False,Apache-2.0,fr.inria.gforge.spoon:spoon-pom,['Apache-2.0'],https://repo1.maven.org/maven2/fr/inria/gforge/spoon/spoon-pom,Maven,9,https://github.com/INRIA/spoon,1213,None
None,A gulp plugin to create artoo.js bookmarklets.,2,https://github.com/medialab/gulp-artoo,['gulpplugin'],JavaScript,https://registry.npmjs.org/gulp-artoo/-/gulp-artoo-0.1.0.tgz,0.1.0,2014-11-07T10:30:39.217Z,False,MIT,gulp-artoo,['MIT'],https://www.npmjs.com/package/gulp-artoo,NPM,8,https://github.com/medialab/gulp-artoo,6,None
None,"A uli toolkit, like material-ui but with stronger typing and more opinionated",3,https://ui.onyxia.dev,"['bluehats', 'design', 'material-ui', 'react', 'typescript', 'ui-components']",TypeScript,https://registry.npmjs.org/onyxia-ui/-/onyxia-ui-0.17.0.tgz,0.17.0,2021-10-17T22:16:26.030Z,False,MIT,onyxia-ui,['MIT'],https://www.npmjs.com/package/onyxia-ui,NPM,9,https://github.com/garronej/onyxia-ui,11,None
None, Blueprints extension of the core component. It can be extended with Blueprints connectors to handle several graph databases. ,12,www.neoemf.com,"['eclipse-plugin', 'emf', 'large-models', 'persistence']",Java,https://repo1.maven.org/maven2/fr/inria/atlanmod/neoemf/neoemf-data-blueprints-core/2.0.0/neoemf-data-blueprints-core-2.0.0.jar,2.0.0,2019-03-21T00:00:00.000Z,True,Eclipse Public License v2.0,fr.inria.atlanmod.neoemf:neoemf-data-blueprints-core,['EPL-2.0'],https://repo1.maven.org/maven2/fr/inria/atlanmod/neoemf/neoemf-data-blueprints-core,Maven,11,https://github.com/atlanmod/NeoEMF,36,None
None,react widget for bibcnrs,0,https://github.com/BibCnrs/bibcnrs-widget,[],JavaScript,https://registry.npmjs.org/bibcnrs-widget/-/bibcnrs-widget-2.0.0.tgz,2.0.0,2018-02-14T14:28:58.602Z,True,CeCILL,bibcnrs-widget,['CECILL-2.1'],https://www.npmjs.com/package/bibcnrs-widget,NPM,7,https://github.com/BibCnrs/bibcnrs-widget,0,None
None,Python API client for OpenCTI.,42,https://github.com/OpenCTI-Platform/client-python,"['cti', 'cybersecurity', 'threat-intelligence']",Python,None,5.0.3,2021-10-20T08:02:36.000Z,True,Apache,pycti,['Apache-2.0'],https://pypi.org/project/pycti/,Pypi,11,https://github.com/OpenCTI-Platform/client-python,33,None
None,This package is a part of Ilos framework.,0,https://github.com/betagouv/ilos#readme,"['node', 'typescript', 'microservice']",TypeScript,https://registry.npmjs.org/@ilos/handler-http/-/@ilos/handler-http-0.3.1.tgz,0.3.1,2019-07-26T14:02:18.518Z,False,Apache-2.0,@ilos/handler-http,['Apache-2.0'],https://www.npmjs.com/package/@ilos/handler-http,NPM,9,https://github.com/betagouv/ilos,5,None
None,Design Tokens for the French Health Insurance,4,https://github.com/assurance-maladie-digital/design-system#readme,"['cnam', 'design-tokens', 'components', 'design-system', 'france', 'health-insurance', 'vue', 'vue-cli', 'vuejs']",TypeScript,https://registry.npmjs.org/@cnamts/design-tokens/-/@cnamts/design-tokens-2.0.0.tgz,2.0.0,2021-08-30T14:08:08.832Z,False,MIT,@cnamts/design-tokens,['MIT'],https://www.npmjs.com/package/@cnamts/design-tokens,NPM,10,https://github.com/assurance-maladie-digital/design-system,17,None
None,An OpenFisca extension that adds some variables to an already-existing tax and benefit system,3,https://github.com/openfisca/extension-template,"['benefit', 'microsimulation', 'social', 'tax']",Python,None,1.3.9,2021-05-06T22:58:26.000Z,True,http://www.fsf.org/licensing/licenses/agpl-3.0.html,OpenFisca-Extension-Template,['Other'],https://pypi.org/project/OpenFisca-Extension-Template/,Pypi,9,https://github.com/openfisca/extension-template,0,None
None,File descriptor passing through UNIX socket,0,https://stemjail.github.io/rustdoc/fdpass/,"['linux', 'socket', 'unix', 'fd', 'cmsg', 'file-descriptor', 'unix-socket']",Rust,https://crates.io/api/v1/crates/fdpass/0.1.0/download,0.1.0,2016-08-06T15:43:18.000Z,False,LGPL-3.0,fdpass,['LGPL-3.0'],https://crates.io/crates/fdpass/,Cargo,7,https://github.com/stemjail/fdpass-rs,10,None
None,EsupSympa is a JSR 168 portlet that allows to display Sympa (http://www.sympa.org) mailing-lists.,5,https://www.esup-portail.org/wiki/display/PROJCANSYMPA/ESUP-Sympa,[],Java,https://repo1.maven.org/maven2/org/esupportail/sympa/esup-portlet-sympa/5.0/esup-portlet-sympa-5.0.jar,None,None,True,"Apache License, Version 2.0",org.esupportail.sympa:esup-portlet-sympa,"['Apache-2.0', 'libpng-2.0']",https://repo1.maven.org/maven2/org/esupportail/sympa/esup-portlet-sympa,Maven,4,https://github.com/EsupPortail/esup-portlet-sympa,2,None
None,This package is a part of Ilos framework.,0,https://github.com/betagouv/ilos#readme,"['node', 'typescript', 'microservice']",TypeScript,https://registry.npmjs.org/@ilos/handler-redis/-/@ilos/handler-redis-0.3.1.tgz,0.3.1,2019-07-26T14:02:30.116Z,False,Apache-2.0,@ilos/handler-redis,['Apache-2.0'],https://www.npmjs.com/package/@ilos/handler-redis,NPM,9,https://github.com/betagouv/ilos,5,None
None,A very simple CSW client,2,https://github.com/geodatagouv/csw-client,"['CSW', 'OGC', 'harvester']",JavaScript,https://registry.npmjs.org/csw-client/-/csw-client-0.18.3.tgz,0.18.3,2019-11-27T13:23:21.443Z,False,MIT,csw-client,['MIT'],https://www.npmjs.com/package/csw-client,NPM,7,https://github.com/geodatagouv/csw-client,11,None
None,Transforms a python structure to an xml element with lxml,0,https://github.com/unistra/lxml-element-maker,"['lxml', 'python', 'maker', 'xml', 'element']",Python,None,1.0.1,2016-11-21T09:12:33.000Z,True,PSF,lxml-element-maker,['Python-2.0'],https://pypi.org/project/lxml-element-maker/,Pypi,8,https://github.com/unistra/lxml-element-maker,0,None
None,Code du travail numérique - CSS,0,https://github.com/SocialGouv/code-du-travail-css#readme,[],JavaScript,https://registry.npmjs.org/@socialgouv/code-du-travail-css/-/@socialgouv/code-du-travail-css-1.0.4.tgz,1.0.4,2018-10-08T19:09:15.849Z,False,Apache-2.0,@socialgouv/code-du-travail-css,['Apache-2.0'],https://www.npmjs.com/package/@socialgouv/code-du-travail-css,NPM,9,https://github.com/SocialGouv/code-du-travail-css,0,None
None,This package is a part of Ilos framework.,0,https://github.com/betagouv/ilos#readme,"['node', 'typescript', 'microservice']",TypeScript,https://registry.npmjs.org/@ilos/queue/-/@ilos/queue-0.3.1.tgz,0.3.1,2019-07-26T14:02:34.738Z,False,Apache-2.0,@ilos/queue,['Apache-2.0'],https://www.npmjs.com/package/@ilos/queue,NPM,9,https://github.com/betagouv/ilos,5,None
None,"A plugin to preview tabular files (CSV, Excel, ...) using csvapi",1,https://github.com/opendatateam/udata-tabular-preview,"['udata', 'harvester', 'Tabular', 'Preview']",Python,None,2.0.2,2020-10-16T15:29:59.000Z,True,AGPL,udata-tabular-preview,['Other'],https://pypi.org/project/udata-tabular-preview/,Pypi,10,https://github.com/opendatateam/udata-tabular-preview,0,None
None,Provide an easy way to split or extract some nodes of very big XML files,5,http://github.com/touv/node-xml-splitter,"['xml', 'splitter', 'extractor', 'reader']",JavaScript,https://registry.npmjs.org/xml-splitter/-/xml-splitter-1.2.1.tgz,1.2.1,2014-01-07T08:29:18.917Z,False,MIT,xml-splitter,['MIT'],https://www.npmjs.com/package/xml-splitter,NPM,13,https://github.com/touv/node-xml-splitter,9,None
None,French Geoportal resources access library,11,https://github.com/IGNF/geoportal-access-lib#readme,"['geoportail', 'webservice', 'javascript', 'es6', 'services']",JavaScript,https://registry.npmjs.org/test-github-actions/-/test-github-actions-0.0.10.tgz,0.0.10,2021-01-28T21:36:26.310Z,False,CECILL-B,test-github-actions,['CECILL-B'],https://www.npmjs.com/package/test-github-actions,NPM,9,https://github.com/IGNF/geoportal-access-lib,21,None
None,WebJar for @etalab/decoupage-administratif,2,http://webjars.org,"['cog', 'communes', 'departements', 'geo', 'insee', 'regions']",JavaScript,https://repo1.maven.org/maven2/org/webjars/npm/github-com-etalab-decoupage-administratif/0.6.2/github-com-etalab-decoupage-administratif-0.6.2.jar,0.6.2,2019-11-08T00:00:00.000Z,False,MIT,org.webjars.npm:github-com-etalab-decoupage-administratif,['MIT'],https://repo1.maven.org/maven2/org/webjars/npm/github-com-etalab-decoupage-administratif,Maven,7,https://github.com/etalab/decoupage-administratif,23,None
