nom,organisation_nom,plateforme,repertoire_url,description,est_fork,date_creation,derniere_mise_a_jour,page_accueil,nombre_stars,nombre_forks,licence,nombre_issues_ouvertes,langage,topics,software_heritage_exists,software_heritage_url
gobelins-devops,entrepreneur-interet-general,GitHub,https://github.com/entrepreneur-interet-general/gobelins-devops,A collection of Ansible playbooks for the Gobelins projects,False,2018-10-24T21:10:02Z,2019-04-02T11:44:16Z,,0,0,MIT License,0,Ruby,,False,
dicoCodes,entrepreneur-interet-general,GitHub,https://github.com/entrepreneur-interet-general/dicoCodes,Generate docx from specifications,False,2018-10-31T15:38:55Z,2018-10-31T17:22:25Z,,1,0,,0,Python,,False,
Shom.H3,entrepreneur-interet-general,GitHub,https://github.com/entrepreneur-interet-general/Shom.H3,The H3 index by Uber used in the context of nautical charts (S57-ENC),False,2018-11-13T16:09:19Z,2018-11-13T16:10:03Z,,0,0,Apache License 2.0,0,,,False,
CartoBIO,entrepreneur-interet-general,GitHub,https://github.com/entrepreneur-interet-general/CartoBIO,Le défi CartoBIO,False,2019-01-28T10:14:52Z,2019-03-29T09:50:50Z,,1,0,MIT License,0,Vue,"cartobio,eig-2019,entrepreneur-interet-general",False,
standup,entrepreneur-interet-general,GitHub,https://github.com/entrepreneur-interet-general/standup,,True,2019-01-28T11:05:34Z,2019-07-04T07:36:57Z,https://standup.eig-apps.org,0,0,GNU Affero General Public License v3.0,1,JavaScript,"eig-2019,eig-link,entrepreneur-interet-general",False,
design-system,entrepreneur-interet-general,GitHub,https://github.com/entrepreneur-interet-general/design-system,DesignSystem,False,2019-02-20T16:42:04Z,2019-07-20T14:32:34Z,,2,2,,2,,,False,
bulletins,entrepreneur-interet-general,GitHub,https://github.com/entrepreneur-interet-general/bulletins,Bulletins is a simple weekly retrospective tool for multiple projects or teams,False,2019-02-28T11:23:34Z,2019-08-02T08:36:36Z,https://bulletins.eig-forever.org,7,0,GNU Affero General Public License v3.0,4,PHP,"eig-2019,eig-link,entrepreneur-interet-general",False,
CartoBio-Presentation,entrepreneur-interet-general,GitHub,https://github.com/entrepreneur-interet-general/CartoBio-Presentation,Static website presenting CartoBio Project,False,2019-03-20T09:24:36Z,2019-07-03T16:02:33Z,,0,0,MIT License,0,Vue,"cartobio,eig-2019,entrepreneur-interet-general",False,
demo_metabase_postgres,entrepreneur-interet-general,GitHub,https://github.com/entrepreneur-interet-general/demo_metabase_postgres,Démonstration de l'outil de BI Metabase pour explorer le répertoire des professsionnels de santé,False,2019-04-08T09:19:15Z,2019-04-08T09:22:24Z,,0,0,,0,Shell,,False,
CartoBio-API,entrepreneur-interet-general,GitHub,https://github.com/entrepreneur-interet-general/CartoBio-API,CartoBio API,False,2019-04-10T08:14:31Z,2019-04-10T09:58:51Z,,0,0,MIT License,1,,"cartobio,eig-2019,entrepreneur-interet-general",False,
bulletins-docs,entrepreneur-interet-general,GitHub,https://github.com/entrepreneur-interet-general/bulletins-docs,The documentation for Bulletins,False,2019-04-25T13:25:10Z,2019-08-06T15:00:32Z,https://bulletins.eig-forever.org,2,0,Other,0,JavaScript,"eig-2019,eig-link,entrepreneur-interet-general",False,
o2-data,entrepreneur-interet-general,GitHub,https://github.com/entrepreneur-interet-general/o2-data,,False,2019-04-28T20:30:07Z,2019-04-28T20:30:13Z,,0,0,MIT License,0,,,False,
brigade-numerique,entrepreneur-interet-general,GitHub,https://github.com/entrepreneur-interet-general/brigade-numerique,Dépôt du défi Brigade Numérique (EIG2 / EIG2018),False,2019-07-11T12:57:41Z,2019-07-11T20:46:38Z,,0,0,,0,,"brigade-numerique,eig-2018,entrepreneur-interet-general",False,
dig,entrepreneur-interet-general,GitHub,https://github.com/entrepreneur-interet-general/dig,Un repo qui présente l'ensemble des ressources mises à disposition des designers d'intérêt général.,False,2019-07-23T13:51:18Z,2019-07-25T12:21:46Z,https://dig.eig-forever.org,0,0,Other,0,JavaScript,,False,
