nom,organisation_nom,organisation_url,repertoire_url,description,est_fork,date_creation,derniere_mise_a_jour,homepage,nombre_stars,nombre_forks,licence,nombre_issues_ouvertes,langage,topics
cartodonnees,SGMAP-AGD,https://github.com/SGMAP-AGD,https://github.com/SGMAP-AGD/cartodonnees,Créer une cartographie exhaustive des données de l'État.,False,2016-02-03T14:50:39Z,2018-08-30T15:27:56Z,,2,0,,0,HTML,data-inventory
exploreDataGouv,SGMAP-AGD,https://github.com/SGMAP-AGD,https://github.com/SGMAP-AGD/exploreDataGouv,,False,2016-02-10T15:54:43Z,2016-02-10T16:55:08Z,,0,0,,0,HTML,
tidydata-defm,SGMAP-AGD,https://github.com/SGMAP-AGD,https://github.com/SGMAP-AGD/tidydata-defm,Les données sur les demandeurs d'emploi inscrits à Pôle emploi dans un format facilement réutilisable.,False,2016-08-04T08:56:33Z,2017-11-22T10:19:43Z,,0,0,,0,R,"tidy-data,unemployment"
analyse_cambriolages,SGMAP-AGD,https://github.com/SGMAP-AGD,https://github.com/SGMAP-AGD/analyse_cambriolages,Une analyse des cambriolages en Haute-Garonne,False,2016-08-05T13:23:02Z,2016-08-05T14:01:14Z,,0,0,,1,Jupyter Notebook,
opensignauxfaibles,SGMAP-AGD,https://github.com/SGMAP-AGD,https://github.com/SGMAP-AGD/opensignauxfaibles,just a set of useful functions for the signauxfaibles project,False,2016-09-20T12:05:21Z,2017-11-22T16:26:54Z,https://beta.gouv.fr/startup/signaux-faibles.html,0,1,,6,R,firmleveldata
recommandations_emploi,SGMAP-AGD,https://github.com/SGMAP-AGD,https://github.com/SGMAP-AGD/recommandations_emploi,Algorithmes développés dans le cadre de notre collaboration avec Bayes Impact.,False,2016-11-08T10:53:08Z,2016-11-21T15:52:38Z,,4,0,,0,Jupyter Notebook,
infogreffes,SGMAP-AGD,https://github.com/SGMAP-AGD,https://github.com/SGMAP-AGD/infogreffes,exploration des données infogreffes,True,2017-01-24T11:05:22Z,2017-12-26T13:11:36Z,,1,0,,0,R,
extraction_prudhommes,SGMAP-AGD,https://github.com/SGMAP-AGD,https://github.com/SGMAP-AGD/extraction_prudhommes,Extraction d'éléments significatif issus de décisions prud'homales,False,2017-07-06T06:23:13Z,2017-07-06T06:32:59Z,,0,1,,0,Python,
opensirene,SGMAP-AGD,https://github.com/SGMAP-AGD,https://github.com/SGMAP-AGD/opensirene,R client to the open sirene API,False,2017-09-15T09:34:05Z,2018-10-29T04:49:49Z,,2,1,,0,R,sirene
openfisca-france,SGMAP-AGD,https://github.com/SGMAP-AGD,https://github.com/SGMAP-AGD/openfisca-france,French tax and benefit system for OpenFisca,True,2018-01-16T16:18:55Z,2018-08-02T07:22:33Z,https://www.openfisca.fr/,1,0,,0,Python,
slides-etalab,SGMAP-AGD,https://github.com/SGMAP-AGD,https://github.com/SGMAP-AGD/slides-etalab,,False,2018-06-20T07:47:55Z,2018-06-20T07:50:28Z,,0,0,,0,HTML,
