nom,organisation_nom,plateforme,repertoire_url,description,est_fork,date_creation,derniere_mise_a_jour,page_accueil,nombre_stars,nombre_forks,licence,nombre_issues_ouvertes,langage,topics
code-du-travail-backoffice,SocialGouv,GitHub,https://github.com/SocialGouv/code-du-travail-backoffice,Back-office d'administration des données du code du travail numérique.,False,2019-02-13T11:14:17Z,2019-06-11T11:04:59Z,https://contributions.codedutravail.num.social.gouv.fr,1,1,Other,36,JavaScript,
tremplin,SocialGouv,GitHub,https://github.com/SocialGouv/tremplin,,False,2019-02-20T14:33:26Z,2019-06-10T06:54:34Z,,0,1,Apache License 2.0,1,TypeScript,
app-nextjs-node-ts,SocialGouv,GitHub,https://github.com/SocialGouv/app-nextjs-node-ts,,False,2019-02-20T21:05:00Z,2019-05-07T13:21:39Z,,1,1,Apache License 2.0,3,TypeScript,
siret2idcc,SocialGouv,GitHub,https://github.com/SocialGouv/siret2idcc,Une API qui renvoie le(s) numéro(s) de Convention Collective d’une entreprise à partir de son SIRET,False,2019-03-13T14:00:36Z,2019-04-16T09:51:31Z,https://siret2idcc.num.social.gouv.fr/,4,0,,1,Jupyter Notebook,
traefigit,SocialGouv,GitHub,https://github.com/SocialGouv/traefigit,Maintain and update your traefik.io basic rules with GIT + CI.,False,2019-03-14T15:39:12Z,2019-05-16T08:45:37Z,,0,2,,1,JavaScript,
domifa,SocialGouv,GitHub,https://github.com/SocialGouv/domifa,"Faciliter l'accès aux droits pour les personnes sans domicile stable, en simplifiant la gestion de la domiciliation",False,2019-03-19T14:29:35Z,2019-06-08T20:35:15Z,https://domifa.num.social.gouv.fr,0,1,Apache License 2.0,1,TypeScript,
datafiller,SocialGouv,GitHub,https://github.com/SocialGouv/datafiller,Custom React forms to edit random data collections,False,2019-03-21T17:03:58Z,2019-04-15T15:40:44Z,,2,0,,1,JavaScript,
egapro,SocialGouv,GitHub,https://github.com/SocialGouv/egapro,,False,2019-04-09T10:36:08Z,2019-06-06T14:58:46Z,,0,1,Apache License 2.0,2,TypeScript,
ds-aggregator,SocialGouv,GitHub,https://github.com/SocialGouv/ds-aggregator,Collecte de dossiers de plusieurs démarches simplifiées,False,2019-04-09T16:11:20Z,2019-06-10T09:52:22Z,,0,0,Apache License 2.0,2,TypeScript,
letor-scores,SocialGouv,GitHub,https://github.com/SocialGouv/letor-scores,JavaScript port of https://github.com/ArmandGiraud/letor_scores/,False,2019-04-25T09:41:20Z,2019-06-07T16:46:51Z,,1,0,Apache License 2.0,0,JavaScript,
work-in-france-backoffice,SocialGouv,GitHub,https://github.com/SocialGouv/work-in-france-backoffice,"Back office de Work In France: API public, génération de statistiques, détection de dossiers en souffrance",False,2019-05-07T12:22:43Z,2019-06-10T08:39:31Z,,0,0,Apache License 2.0,2,TypeScript,
tocbot,SocialGouv,GitHub,https://github.com/SocialGouv/tocbot,Build a table of contents from headings in an HTML document.,True,2019-05-20T12:51:44Z,2019-05-20T12:51:47Z,,0,0,MIT License,0,JavaScript,
dila-tests-api,SocialGouv,GitHub,https://github.com/SocialGouv/dila-tests-api,testing private access to DILA API,False,2019-05-22T08:36:00Z,2019-05-22T12:35:44Z,,0,0,,0,Python,
checkup,SocialGouv,GitHub,https://github.com/SocialGouv/checkup,"Distributed, lock-free, self-hosted health checks and status pages",True,2019-06-04T07:57:38Z,2019-06-04T07:57:41Z,https://sourcegraph.github.io/checkup,0,0,MIT License,0,Go,
mattermost-plugin-google-calendar,SocialGouv,GitHub,https://github.com/SocialGouv/mattermost-plugin-google-calendar,Mattermost plugin for Google Calendar - In rapid development,True,2019-06-04T15:32:19Z,2019-06-04T15:32:23Z,,0,0,Apache License 2.0,1,Go,
